"Ad Impressions","Channel Image","Channel Name","Video Name","Content Category","Video Language","Video Format","Video Minutes","Childrens Content","Video Views","Channel Views","Channel Subs","Channel Origin","Video URL","Channel URL"
1046,"https://yt3.ggpht.com/ytc/AIdro_kepdljDpMvzE0iWTq2As3JT3IwvzTUfXoBeWGXd5xLGyw=s88-c-k-c0x00ffffff-no-rj","The Norris Nuts","BIGGY'S 15TH BIRTHDAY (a wild ride) FULL STORY w/The Norris Nuts","People & Blogs","English","Long Form",48,0,"2521867","4520663880","7750000","AU","https://www.youtube.com/watch?v=K3wA2Sowgz0","https://www.youtube.com/channel/UCYd0us2OtW4d4-1cfpT2ktw"
1038,"https://yt3.ggpht.com/ZnXRoYLrS1M6h8zU0GlNOSKq3pXZ7JRlcRzEb7VfwADGXVu6S_2K9fYbHsuN2xXirME_l6KDWw=s88-c-k-c0x00ffffff-no-rj","Sandık Kokusu","Sandık Kokusu 17.Bölüm @sandikkokusudizi","Film & Animation","Turkish","Long Form",148,0,"4393392","277373815","455000","TR","https://www.youtube.com/watch?v=6totBpBT77o","https://www.youtube.com/channel/UCbfcZal6XtsXRpGVtrXCX4Q"
1029,"https://yt3.ggpht.com/dIL_Vgwl6Oox3kCAsiZHT8CINvSfyUfgv9W54LqFa1Ni5L52EXJyjLCVqnUQMIynRlI1faDDyg=s88-c-k-c0x00ffffff-no-rj","Zhong","I Survived the World's STRICTEST SCHOOL","Entertainment","English","Long Form",53,0,"7356358","17928092299","44100000","US","https://www.youtube.com/watch?v=8mE8rxRoVoI","https://www.youtube.com/channel/UCyagEfIN1okQ-s996XAqCFQ"
1024,"https://yt3.ggpht.com/z8c18QyJECNwc1Dfy7V0GA9q7fWQZLeWYAr6mzMIJSs0_jvwis7nju6uttglf3-ibiU8cBFSXA=s88-c-k-c0x00ffffff-no-rj","Gotcha! Viral","Good Wednesday VS Bad Enid! Body Swap! *Extreme Makeover & Funny Situations* by Gotcha! Viral","People & Blogs","English","Long Form",63,0,"16564484","231092349","741000",NA,"https://www.youtube.com/watch?v=SqKUe5Jn7gU","https://www.youtube.com/channel/UCXPj7um3A3J2JYH3F9Yzvcg"
991,"https://yt3.ggpht.com/fTbDZB5J9RUfnspwzbrB_XCT_ZdQG2LAjEBtLlnlZ-P41SkHLKur_Polr_ikFiAXTTCM56uIGw=s88-c-k-c0x00ffffff-no-rj","Rebecca Zamolo","Every Hour My Daughter Gets 1 Year Older","Entertainment","English","Long Form",32,0,"16685232","7963598550","17100000","US","https://www.youtube.com/watch?v=q6_O1wXtaKc","https://www.youtube.com/channel/UCfw8x3VR-ElcaWW2Tg_jgSA"
990,NA,NA,"0","0","No Language Detected","Short Reel",0.3,0,"0",NA,NA,NA,"https://www.youtube.com/watch?v=0","https://www.youtube.com/channel/0"
986,"https://yt3.ggpht.com/xukNZ7OMGIyK8fLNxAwR-uy214xfaZph7btgo5-HpBbT0o8tZuJ38LBkSI_UcQWYklg4P-tZvQ=s88-c-k-c0x00ffffff-no-rj","Khoai Lang Thang","Choáng ngợp thung lũng C-H-Ế-T. Du lịch Mỹ tự túc #3 | USA Trip","Travel & Events","Vietnamese","Long Form",51,0,"2699698","637349794","2610000","VN","https://www.youtube.com/watch?v=5cW2Kj4_7HY","https://www.youtube.com/channel/UCZE88kYvCKUKjM-G0uc8Duw"
985,"https://yt3.ggpht.com/ytc/AIdro_nJoblSi1M7ucd-7Z0d6S1eCmSXot3mOp6j68VAl3N0LL4=s88-c-k-c0x00ffffff-no-rj","Michigan Rocks","Awesome Petoskey Stone","Entertainment","English","Short Reel",1,0,"67317734","118626721","376000","US","https://www.youtube.com/watch?v=FMsw1Kf6gA4","https://www.youtube.com/channel/UC5E1PfBiYBUAzzO60U1ZyYQ"
973,"https://yt3.ggpht.com/KLybAn9VAqHtxbwflIr9TsPVxz3cHqCbkyCpIzzplQb6GtYKLvDR_J_tpQP-1HtickWqjNHumKg=s88-c-k-c0x00ffffff-no-rj","The Emirates FA Cup","FULL MATCH | Manchester United v Liverpool | Quarter-final | Emirates FA Cup 2023-24","Sports","English","Long Form",136,0,"6664549","1019200248","2780000","GB","https://www.youtube.com/watch?v=PQrekQOY-VY","https://www.youtube.com/channel/UCChcWqwYXCEs657MQ00qVWA"
955,"https://yt3.ggpht.com/pylZvcW5TO66N6vVEY27Sii4xyVEl48pjPKUb6NzwB9f_gcFGKiF6g1P5iL3gmcu6kdxwK6bsMY=s88-c-k-c0x00ffffff-no-rj","Uncle Pooly","Old school PATINA PAINT JOB from start to finish - WE PAINTED BAZ!!!","People & Blogs","English","Long Form",30,0,"98394","2622721","59000","AU","https://www.youtube.com/watch?v=YeTDck8h5Tw","https://www.youtube.com/channel/UCnBDFWDYFPGr49ha1oEw17g"
952,"https://yt3.ggpht.com/syobp6tV2ehhFY0udMApkSGfrLN86Id6iv6GJZ9Ui1-HwL1UDzouVT_m_QkWQxaXjo4qPDYagw=s88-c-k-c0x00ffffff-no-rj","Washington Life","Best tasting clams","Entertainment","English","Short Reel",1,0,"37861566","185759600","256000","US","https://www.youtube.com/watch?v=PlUtfnbPH9o","https://www.youtube.com/channel/UChHWRFt_TVkBWyMAhzmvTiA"
949,"https://yt3.ggpht.com/ytc/AIdro_kSMAoyeycjoRRghUzFfkkxOnfwot6qtf6oHkLVF29XSkmY=s88-c-k-c0x00ffffff-no-rj","Nathan Kessel","Boing boing in the lecture hall at USC","Comedy","English","Short Reel",0.3,0,"186015659","8641490911","8880000",NA,"https://www.youtube.com/watch?v=EzB5V_Srm64","https://www.youtube.com/channel/UCHr43HOeO7WHmwQ_sij6ezQ"
939,"https://yt3.ggpht.com/SjgRPTycic5zYcHD7tiKeycynwxski_NdgwUYUCAeLzHxihkP3fw6RnKD8Ssv01BeyjvcR5nHQ=s88-c-k-c0x00ffffff-no-rj","Gönül Dağı","Gönül Dağı 134. Bölüm @trt1","Entertainment","Turkish","Long Form",145,0,"2272531","1689661654","1600000","TR","https://www.youtube.com/watch?v=KbRpWq2Auc0","https://www.youtube.com/channel/UC6zAMy6boneCLJzRKiiwzmQ"
